Type,Domain,Name,Description,Category,Keywords,Rating,Comments,Uid,Update Frequency,Time Period,Agency,Sub-Agency,High Value Dataset,Suggested by Public,Data.gov Catalog Type,Identifier,SoQL,Key Identifier,State,Data.gov ID
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Employment Projections (Labor-Force-Employment-and-Earnings/Employment-Projections/3kej-fdsa),The Employment Projections Program develops information about the labor market for the Nation as a whole for 10 years in the future.,"Labor Force, Employment, and Earnings","Input-output projections, Employment projections, Industry employment projections, Labor force projections, Employment requirements matrix, Industry output projections, Industry output Projections, community.health",0,0,3kej-fdsa,Biennial,10-year period,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,3kej-fdsa,,,,324
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,FDA Peanut-Containing Product Recall (Health-and-Nutrition/FDA-Peanut-Containing-Product-Recall/r95p-vbp6),"The FDA Peanut-Containing Product Recall widget allows you to browse the Food and Drug Administration (FDA) database of peanut butter and peanut-containing products subject to recall. This database makes it easier for you to determine whether any of the products you have at home are subject to recent recalls, and will be updated as new information becomes available.",Health and Nutrition,"peanut butter, snack bars, pet food, salmonella, fruits and vegetables, product-recalls, product, national, cake and pie, recalls, cereal, federal widget, cracker, brownie, candy, cookie, donut, FDA, dressing and seasonings, ice cream",0,0,r95p-vbp6,,,Department of Health and Human Services,US Food and Drug Administration,N,N,Tool Catalog,r95p-vbp6,,,,116
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,NOAA Watch Web Widgets (Geography-and-Environment/NOAA-Watch-Web-Widgets/x7ch-enp5),This site contains widgets that track river levels and forecasts with content provided by NOAA. The widgets will update as NOAA updates information.,Geography and Environment,"Fargo, ND, federal widgets, track river levels, flood forecasts, NOAA Watch, North Dakota, web, Red River",0,0,x7ch-enp5,,,Department of Commerce,National Oceanic and Atmospheric Administration,N,N,Tool Catalog,x7ch-enp5,,,,113
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,EPA FRS Facilities Combined File CSV Download for the State of Arizona (Geography-and-Environment/EPA-FRS-Facilities-Combined-File-CSV-Download-for-/f429-2mbt),"The Facility Registry System (FRS) identifies facilities, sites, or places subject to environmental regulation or of environmental interest to EPA programs or delegated states. Using vigorous verification and data management procedures, FRS integrates facility data from program national systems, state master facility records, tribal partners, and other federal agencies and provides the Agency with a centrally managed, single source of comprehensive and authoritative information on facilities.",Geography and Environment,"latitude, public health, organization, TRIS, STATE, NAICS, ICIS, SSTS, program system identifier, RMP, TRI, major discharger, RCRA, Transporter, longitude, environment, DUNS, federal data download, program system acronym, NCES, environmental interest type, RCRAINFO, regulated sites, national priorities list, federal datasets, AFS, SIC, NPL, AQS, CERCLIS, SQG, TSD, facilities, CAMDBS, affiliation type, facility site, Brownfields, facility registry identifier, minor discharger, Air Minor, SDWIS, ACRES, FRS, RFS, Air Major, facility, LQG, NCDB, Superfund, NEI, EPA, parent organization, program system, sites, toxic release, NPDES, FRS Data, PCS",0,0,f429-2mbt,"Continuous, updated as facility information is updated, added and changed.",Facilities or sites currently regulated  or of interest to multiple EPA programs,Environmental Protection Agency,,N,N,Raw Data Catalog,f429-2mbt,,,,1026
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Clean Air Markets - Data and Maps Web Application (Energy-and-Utilities/Clean-Air-Markets-Data-and-Maps-Web-Application/kdxd-8kaj),"Data and Maps (D&M) is an internet application that allows users easy access to industry source emissions data, providing simple viewing and reporting capabilities as well as print and download options. The objective of D&M is to provide an easy to use, interactive, and intuitive Web-based interface to view unit, facility, emissions, and allowance data collected as part of EPA's emissions  trading programs. D&M provides users the tools to answer scientific, policy, and regulatory questions, and allows users to query data using a standard Web browser. No additional software, plug-ins, or security controls are required to access the data, thus supporting the objective that D&M be publicly available to all users.   D&M is organized into six core functional areas: Emissions, Allowances, Facility Attributes and Contacts, Compliance, Quick Facts and Trends, and Where You Live. In addition, several external resources regarding air quality and deposition mapping can be reached through links on the D&M home page.",Energy and Utilities,"NOx, Air Quality, AQ, power plants, Tradeable Permits, environment, emission, federal data download, federal datasets, facilities, acid deposition, sulfur, Air Pollution, acid rain, emissions, facility, nitrogen, EPA, acid, ozone, cap and trade",0,0,kdxd-8kaj,Varies by module,Varies by module,Environmental Protection Agency,,N,N,Tool Catalog,kdxd-8kaj,,,,963
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Interest Rate Statistics - Daily Treasury Bills Rates (Current year) (Federal-Government-Finances-and-Employment/Interest-Rate-Statistics-Daily-Treasury-Bills-Rate/a2py-dquz),"Daily Treasury Bill Rates: These rates are the daily secondary market quotation on the most recently auctioned Treasury Bills for each maturity tranche (4-week, 13-week, 26-week, and 52-week) that Treasury currently issues new Bills. Market quotations are obtained at approximately 3:30 PM each business day by the Federal Reserve Bank of New York. The Bank Discount rate is the rate at which a Bill is quoted in the secondary market and is based on the par value, amount of the discount and a 360-day year. The Coupon Equivalent, also called the Bond Equivalent, or the Investment Yield, is the bill's yield based on the purchase price, discount, and a 365- or 366-day year. The Coupon Equivalent can be used to compare the yield on a discount bill to the yield on a nominal coupon bond that pays semiannual interest.",Federal Government Finances and Employment,"statistics, aa, rates, yield curve, real yield curve, yield, daily yield curve, interest rates, interest",0,0,a2py-dquz,Monthly,Current year,Department of the Treasury,,N,Y,Raw Data Catalog,a2py-dquz,,,,405
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,EPA FRS Facilities Combined File CSV Download for the State of California (Geography-and-Environment/EPA-FRS-Facilities-Combined-File-CSV-Download-for-/y38d-q6kk),"The Facility Registry System (FRS) identifies facilities, sites, or places subject to environmental regulation or of environmental interest to EPA programs or delegated states. Using vigorous verification and data management procedures, FRS integrates facility data from program national systems, state master facility records, tribal partners, and other federal agencies and provides the Agency with a centrally managed, single source of comprehensive and authoritative information on facilities.",Geography and Environment,"latitude, public health, organization, TRIS, STATE, NAICS, ICIS, SSTS, program system identifier, RMP, TRI, major discharger, RCRA, Transporter, longitude, environment, DUNS, federal data download, program system acronym, NCES, environmental interest type, RCRAINFO, regulated sites, national priorities list, federal datasets, AFS, SIC, NPL, AQS, CERCLIS, SQG, TSD, facilities, CAMDBS, affiliation type, facility site, Brownfields, facility registry identifier, minor discharger, Air Minor, SDWIS, ACRES, FRS, RFS, Air Major, facility, LQG, NCDB, Superfund, NEI, EPA, parent organization, program system, sites, toxic release, NPDES, FRS Data, PCS",0,0,y38d-q6kk,"Continuous, updated as facility information is updated, added and changed.",Facilities or sites currently regulated  or of interest to multiple EPA programs,Environmental Protection Agency,,N,N,Raw Data Catalog,y38d-q6kk,,,,1027
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Aviation Accident Statistics:  Accidents, Fatalities, and Rates,  1991 - 2010, for U.S. Air Carriers Operating Under 14 CFR 121, Scheduled and Nonscheduled Service (Airlines) (Transportation/Aviation-Accident-Statistics-Accidents-Fatalities-/dicf-ptrz)","Aviation Accident Statistics:  Accidents, Fatalities, and Rates, 1991 through 2010, for U.S. Air Carriers Operating Under 14 CFR 121, Scheduled and Nonscheduled Service (Airlines)",Transportation,"accidents, scheduled, NTSB, fatalities, nonscheduled, aviation, Safety Board, transportation",0,0,dicf-ptrz,annual,1991 - 2010,National Transportation Safety Board,,Y,Y,Raw Data Catalog,dicf-ptrz,,,,1570
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Information Bridge Data Service (Science-and-Technology/Information-Bridge-Data-Service/zxzp-te68),"Contains bibliographic data for Department of Energy (DOE) research report literature available in full-text online in the DOE Information Bridge.  Default request returns first one hundred records.  See Technical Documentation for instructions on obtaining additional records.  This data service allows the downloading of bibliographic records in formats that can be used to load the records into other databases or search tools.  To search the DOE Information Bridge, use the Agency Program Page below.",Science and Technology,"radiochemistry, oil shales, dosimetry, wave power, lignite, superconductivity, radiation physics, computing, safeguards, tidal power, nuclear fuels, coal, power plants, plasma physics, OSTI, biology, nuclear technology, ERDA, hydrogen, nuclear medicine, DOE, tar sands, nuclear physics, power transmission, renewable energy, information science, atomic and molecular physics, hydro energy, radiation, AEC, peat, fusion technology, engineering, full-text, energy policy, petroleum, quantum mechanics, Energy Research and Development Administration, synthetic fuels, isotopes, pollution, materials science, natural gas, radioactive wastes, solar energy, environmental sciences, energy research, energy storage, elementary particles and fields, condensed matter physics, fossil fuels, nuclear chemistry, energy conservation, accelerators, geothermal energy, instrumentation, energy utilization, environmental cleanup, information bridge, geosciences, wind energy, energy technologies, physics, nuclear reactors, chemistry, advanced propulsion, Atomic Energy Commission, nuclear science, scientific reports, life sciences, mathematics, bibliographic data, biomass fuels, power generation, superfluidity, radiology, energy conversion, technical reports, mechanics, energy consumption",0,0,zxzp-te68,n/a,"1991-present, selectively 1948-1990",Department of Energy,Office of Scientific and Technical Information,Y,N,Raw Data Catalog,zxzp-te68,,,,2478
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Biotechnology Regulatory Services public data file (permits, notifications, and petitions) (Agriculture/Biotechnology-Regulatory-Services-public-data-file/jz64-gvq7)","Public information on BRS applications for genetically engineered permits, notifications, and petitions.",Agriculture,"Notifications, Nematode Resistance, Phenotypes, GE, Bacterial Resistance, Genotypes, Agronomic Properties, BRS, Permits, Virus Resistance, Marker Gene, Insect Resistance, Institution, Product Quality, Petitions, Article, Fungal Resistance, Herbicide Tolerance",0,0,jz64-gvq7,Monthly,1984 - Present,Department of Agriculture,Animal and Plant Health Inspection Service,Y,N,Raw Data Catalog,jz64-gvq7,,,,3980
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,FHEO Filed Cases (Law-Enforcement-Courts-and-Prisons/FHEO-Filed-Cases/ktf8-r4tc),"The dataset is a list of all the Title VIII fair housing cases filed by FHEO from 01/01/2006 to the run date including the case number, case name, filing date, state and county of the alleged violation, and the bases for the alleged discriminatory acts.  The Federal bases are race, color, national origin, religion, sex, disability, familial status and retaliation for filing a fair housing complaint.  Some of the bases have been broken out into more detailed groupings (Race - Asian, etc.)  A single case may have multiple bases.  The data can be aggregated to the county or state level to show patterns in the quantity and bases of fair housing complaints filed.","Law Enforcement, Courts, and Prisons","Fair Housing Act, HUD, religion, race, color, housing discrimination, familial status, civil rights charges, FHEO filings",0,0,ktf8-r4tc,Daily,Daily,Department of Housing and Urban Development,,Y,N,Raw Data Catalog,ktf8-r4tc,,,,1329
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,International Energy Statistics (Energy-and-Utilities/International-Energy-Statistics/pqab-3g8p),"Country specific data by year, month and quarter.  Most data are available back to 1980. Fuel production, consumption, imports, exports, capacity, stocks, emissions, heat contents, and conversion factors; as well as population, as available for all fuels and countries.",Energy and Utilities,"OECD oil supply, OPEC oil supply, coal, coal reserves, Department of Energy, generation, exports, natural gas reserves, OPEC oil production, electricity, reserves, petroleum, heat content, natural gas, OECD oil production, energy production, DOE, imports, fuel stocks, renewable fuel, carbon emissions, oil, biofuels, international energy statistics by country, oil reserves, CO2 emissions, energy consumption",0,0,pqab-3g8p,Monthly,Monthly Data updates,Department of Energy,Energy Information Administration,N,N,Tool Catalog,pqab-3g8p,,,,860
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"RSS Feed for Third Current Tropical Cyclone in the North Atlantic, Caribbean, and Gulf of Mexico (Geography-and-Environment/RSS-Feed-for-Third-Current-Tropical-Cyclone-in-the/v8n8-vgt5)","The National Weather Service (NWS) National Hurricane Center uses regularly updated RSS feeds to disseminate latest advisories and graphics for a current storm in the North Atlantic, Caribbean Sea, and Gulf of Mexcio.",Geography and Environment,"tropical cyclones, marine, forecast, warning, hurricanes, Caribbean Sea, watch, advisory, Gulf of Mexico., temperature, Atlantic, discussion, outlooks",0,0,v8n8-vgt5,hourly,Present,Department of Commerce,National Oceanic and Atmospheric Administration,Y,N,Tool Catalog,v8n8-vgt5,,,,2427
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Interest Rate Statistics - Daily Treasury Yield Curve Rates (Current year) (Federal-Government-Finances-and-Employment/Interest-Rate-Statistics-Daily-Treasury-Yield-Curv/2y4j-qtne),"Treasury Yield Curve Rates. These rates are commonly referred to as ""Constant Maturity Treasury"" rates, or CMTs. Yields are interpolated by the Treasury from the daily yield curve. This curve, which relates the yield on a security to its time to maturity is based on the closing market bid yields on actively traded Treasury securities in the over-the-counter market. These market yields are calculated from composites of quotations obtained by the Federal Reserve Bank of New York. The yield values are read from the yield curve at fixed maturities, currently 1, 3 and 6 months and 1, 2, 3, 5, 7, 10, 20, and 30 years. This method provides a yield for a 10 year maturity, for example, even if no outstanding security has exactly 10 years remaining to maturity.",Federal Government Finances and Employment,"statistics, aa, rates, yield curve, real yield curve, yield, daily yield curve, interest rates, interest",0,0,2y4j-qtne,Monthly,Current Year,Department of the Treasury,,N,N,Raw Data Catalog,2y4j-qtne,,,,420
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Chemical Analyses of Soils and other Surficial Materials of the Coterminous US (Geography-and-Environment/Chemical-Analyses-of-Soils-and-other-Surficial-Mat/qex4-jdmf),Geochemistry of soils and other regoliths collected and analyzed by Hans Shacklette and colleagues from 1958 until about 1976,Geography and Environment,"contemporaneous, USGS, surficial, environment, federal data download, chemical, federal datasets, surface, unconsolidated deposits, regoliths, KML, soil, Mineral Resources Program, coterminous, Geography, geochemistry, chemical analysis, Shapefile, soil geochemistry",0,0,qex4-jdmf,none planned,samples collected 1958-1976,Department of the Interior,US Geological Survey,N,N,Raw Data Catalog,qex4-jdmf,,,,28
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Process of Care Measures – National Average (http://data.medicare.gov/dataset/Hospital-Process-of-Care-Measures-National-Average/2jjc-dc2m),The national average for process of care measures (how often a healthcare provider gives recommended care).,,"hospital compare, process of care, poc, quality, ratings, national average, heart attack, heart failure, pneumonia, cac, scip",0,0,2jjc-dc2m,,,,,,,,2jjc-dc2m,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"RSS Feed for First Current Tropical Cyclone in the North Atlantic, Caribbean, and Gulf of Mexico (Geography-and-Environment/RSS-Feed-for-First-Current-Tropical-Cyclone-in-the/8c7v-faed)","The National Weather Service (NWS) National Hurricane Center uses regularly updated RSS feeds to disseminate latest advisories and graphics for a current storm in the North Atlantic, Caribbean Sea, and Gulf of Mexcio.",Geography and Environment,"tropical cyclones, marine, forecast, warning, hurricanes, Caribbean Sea, watch, advisory, Gulf of Mexico., temperature, Atlantic, discussion, outlooks",0,0,8c7v-faed,hourly,Present,Department of Commerce,National Oceanic and Atmospheric Administration,Y,N,Tool Catalog,8c7v-faed,,,,2425
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Hydrological Information by Sampling Station within the Great Plains Region of the Bureau of Reclamation (Natural-Resources/Hydrological-Information-by-Sampling-Station-withi/ikxz-7re6),The Bureau of Reclamation operates a network of automated hydrologic and meteorologic monitoring stations (Hydromet) located throughout the Great Plains Region. The Hydromet network collects remote field data and transmits it via satellite to provide real-time water management capability. Hydromet data is then integrated with other sources of information to provide streamflow forecasting and current runoff conditions for river and reservoir operations.  This dataset includes the geographical locations of the sampling stations and associated parameters for data collection in each state within the Great Plains Region.,Natural Resources,"Hydrology, reservoir, streamflow, water resource management",0,0,ikxz-7re6,one-time,1890 to present,Department of the Interior,US Bureau of Reclamation,N,N,Raw Data Catalog,ikxz-7re6,,,,956
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Monthly Statement of the Public Debt (Banking-Finance-and-Insurance/Monthly-Statement-of-the-Public-Debt/hrij-q38u),"The Monthly Statement of the Public Debt (MSPD) is available online in summary and full versions, and lists the types of Treasury Securities issued to finance the Debt, the related maturity dates, and the ""Amount Outstanding"".   The downloadable files include the Summary page, the STRIPS information, and the Monthly Statement of the Public Debt (MSPD) in its entirety. Data is available on the fourth business day of each month.  Data on the website is available from 1953 to the present.   However, for the years 1953-1996 only the MSPD in its entirety is available and that is in PDF format.","Banking, Finance, and Insurance","monthly statement of the Public Debt, MSPD, STRIPS, debt. Treasury securities",20,1,hrij-q38u,monthly,previous month,Department of the Treasury,Bureau of the Public Debt,Y,N,Raw Data Catalog,hrij-q38u,,,,4238
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,ClinicalTrials.gov : linking patients to medical research (Health-and-Nutrition/ClinicalTrials-gov-linking-patients-to-medical-res/aute-33gz),"Abstract:  Provides patients, family members, health care professionals, and members of the public easy access to  information on clinical trials for a wide range of diseases and conditions.",Health and Nutrition,"Clinical Trials as Topic, United States",0,0,aute-33gz,Daily,2000 to Current,Department of Health and Human Services,National Library of Medicine,N,N,Tool Catalog,aute-33gz,,,,1256
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Aviation Accident Statistics: Passenger Injuries and Injury Rates, 1991 - 2010, for U.S. Air Carriers Operating Under 14 CFR 121 (Transportation/Aviation-Accident-Statistics-Passenger-Injuries-an/22c8-jdkz)","Aviation Accident Statistics: Passenger Injuries and Injury Rates, 1991 through 2010, for U.S. Air Carriers Operating Under 14 CFR 121",Transportation,"injury, accidents, injuries, NTSB, fatalities, aviation, Safety Board, transportation, passenger",0,0,22c8-jdkz,annual,1991 - 2010,National Transportation Safety Board,,Y,Y,Raw Data Catalog,22c8-jdkz,,,,1568
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Biennial Reporting System (BRS) Widget (Geography-and-Environment/Biennial-Reporting-System-BRS-Widget/n6fv-agde),The Biennial Reporting System (BRS) widget allows users to retrieve hazardous waste information for large quantity generators for an area of interest as reported by the Biennial Reporting System,Geography and Environment,"environmental data, Envirofacts, hazardous waste, facilities, large quantity generators, EPA, biennial reporting system, waste, BRS, widget",0,0,n6fv-agde,Updated every 2 years,,Environmental Protection Agency,,N,N,Tool Catalog,n6fv-agde,,,,843
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Short-Term Energy Outlook - Real Petroleum Prices (Energy-and-Utilities/Short-Term-Energy-Outlook-Real-Petroleum-Prices/zinz-q5tn),"Provides Real gasoline pump prices on an annual basis back to 1919 and monthly prices for gasoline, heating oil, diesel fuel, and imported refiners acquistion cost of crude oil from January 1980 through the end of the forecast.  Monthly Real Petroleum Prices are computed by dividing the nominal price in a given month by the ratio of the Consumer Price Index (CPI) in that month to the CPI in the current STEO month, the ""base"" period.  Example:  The current base period for the August 2009 data is August 2009.    The base period for the annual data is the previous year, in this case is 2008. So the real annual prices are in 2008 dollars.  The base period for the annual data will be updated in January 2010.",Energy and Utilities,"oil price forecasts, real diesel fuel prices, real gasoline prices, Department of Energy, DOE, crude oil price forecasts, real crude oil prices, heating oil price projections, diesel price projections",0,0,zinz-q5tn,Monthly,Monthly Data updates,Department of Energy,Energy Information Administration,N,N,Raw Data Catalog,zinz-q5tn,,,,861
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Home Health Agency (HHA) Medicare Cost Report Data - FY 2006 (Health-and-Nutrition/Home-Health-Agency-HHA-Medicare-Cost-Report-Data-F/m9xe-7kn7),A collection of HHA Medicare cost report data from the CMS Form 1728-94.,Health and Nutrition,"Days, Visits, HHA, HCRIS, Rates, Medicare Charges, Reimbursement, community.health, Medicare Costs",0,0,m9xe-7kn7,Quarterly,2006,Department of Health and Human Services,Centers for Medicare and Medicaid Services,N,N,Raw Data Catalog,m9xe-7kn7,,,,771
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Tax Year 1992 Private Foundations Study (Social-Insurance-and-Human-Services/Tax-Year-1992-Private-Foundations-Study/sc64-a8v9),Forms 990-PF by IRC Section 501(c)(3) private foundations and Section 4947(a)(1) nonexempt charitable trusts for Tax Year 1992,Social Insurance and Human Services,"nonprofit, IRS, charitable, Form 990-PF, Statistics of Income, contribution, grant, private foundation",0,0,sc64-a8v9,Annual,Returns filed January 1993 - December 1994,Department of the Treasury,Internal Revenue Service,N,N,Raw Data Catalog,sc64-a8v9,,,,62
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,RSS Feed for Second Current Tropical Cyclone in the Eastern Pacific (Geography-and-Environment/RSS-Feed-for-Second-Current-Tropical-Cyclone-in-th/2tc7-xw3d),The National Weather Service (NWS) National Hurricane Center uses regularly updated RSS feeds to disseminate latest advisories and graphics for a current storm in the Eastern Pacific.,Geography and Environment,"Eastern Pacific, tropical cyclones, marine, forecast, warning, hurricanes, watch, advisory, temperature, discussion, outlooks",0,0,2tc7-xw3d,hourly,Present,Department of Commerce,National Oceanic and Atmospheric Administration,Y,N,Tool Catalog,2tc7-xw3d,,,,2431
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Mineral Operations of Latin America and Canada (Geography-and-Environment/Mineral-Operations-of-Latin-America-and-Canada/jpds-2nn9),Attributes of over 900 mineral facilities,Geography and Environment,"gold, silver, Latin America, capacity, commodity, environment, Attributes, federal data download, mills, mineral facilities, federal datasets, international mining facility locations, facilities, mines, plants, diamonds, refineries, Canada, processing plant, mineral resources, mineral, operations",0,0,jpds-2nn9,as needed,current as of 2006,Department of the Interior,US Geological Survey,N,N,Raw Data Catalog,jpds-2nn9,,,,18
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Bibliographical Metadata of the Foreign Relations of the United States Series (Other/Bibliographical-Metadata-of-the-Foreign-Relations-/qka6-wfrf),"The Office of the Historian is responsible, under law, for the preparation and publication of the official historical documentary record of U.S. foreign policy in the Foreign Relations of the United States series.  The dataset that the Office of the Historian is submitting is the raw bibliographical metadata for the nearly 500 volumes in this series published since 1861.  Each record in the dataset contains a volume's title, year of publication, years covered by the volume, summary, and links to websites that offer these volumes online or in print, among other metadata items.",Other,"FRUS, foreign policy, foreign affairs, diplomacy, foreign relations",0,0,qka6-wfrf,as needed,years,Department of State,,Y,N,Raw Data Catalog,qka6-wfrf,,,,1431
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Multifactor Productivity (Labor-Force-Employment-and-Earnings/Multifactor-Productivity/sv8f-za76),"Multifactor Productivity (MFP) measures the changes in output per unit of combined inputs. Indexes of MFP are produced for the private business, private nonfarm business, and manufacturing sectors of the economy. MFP is also developed for 18 3-digit NAICS manufacturing industry groups and 86 4-digit NAICS manufacturing industries, the air transportation industry, the railroad transportation industry, and the utility and gas industry.","Labor Force, Employment, and Earnings",Multifactor productivity,0,0,sv8f-za76,Annual,Entire year,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,sv8f-za76,,,,332
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,EPA Enforcement and Compliance History Online (ECHO) Toolbox (Geography-and-Environment/EPA-Enforcement-and-Compliance-History-Online-ECHO/c8kh-iqih),"Enforcement and Compliance History Online (ECHO) is designed to easily provide usable information about inspections, violations, and enforcement by utilizing interactive maps and enhanced trend data. ECHO advances public information by sharing data related to water, air, waste, and drinking water regulations and allows its users a variety of options to better understand the state of their local environment as well as national environmental impacts to public health. The web-based site features information on facilities that are violating the Clean Water Act  with tools that compare water quality trends and generate interactive maps that link to detailed state dashboards. ECHO also provides easy access to information about violations of the Safe Drinking Water Act, showing the frequency of violations to drinking water across states, and offers a detailed list of the most serious violators in the nation.  ECHO is searchable by location, and the public can also examine information on inspections conducted by both EPA and the state, violations and enforcement actions at facilities in their communities, and the penalties levied in response to violations related to the Clean Air Act and Resource Conservation and Recovery Act.",Geography and Environment,"Fungicide, enforcement, violations, Federal Insecticide, Resource Conservation and Recovery Act, Clean Water Act, FIFRA, RCRA, penalty, inspections, environmental performance, CAA, enforcement action, EPCRA, and Rodenticide Act, compliance history, OECA, compliance, Emergency Planning and Community Right-to-Know Act, TSCA, inspection, ECHO, Clean Air Act, CWA, Toxic Substances Control Act, permit, violation, detailed facility report",0,0,c8kh-iqih,Monthly,2000 to Present,Environmental Protection Agency,,Y,N,Tool Catalog,c8kh-iqih,,,,4809
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"RSS Feed for Second Current Tropical Cyclone in the North Atlantic, Caribbean, and Gulf of Mexico (Geography-and-Environment/RSS-Feed-for-Second-Current-Tropical-Cyclone-in-th/rmq9-unzu)","The National Weather Service (NWS) National Hurricane Center uses regularly updated RSS feeds to disseminate latest advisories and graphics for a current storm in the North Atlantic, Caribbean Sea, and Gulf of Mexcio.",Geography and Environment,"tropical cyclones, marine, forecast, warning, hurricanes, Caribbean Sea, watch, advisory, Gulf of Mexico., temperature, Atlantic, discussion, outlooks",0,0,rmq9-unzu,hourly,Present,Department of Commerce,National Oceanic and Atmospheric Administration,Y,N,Tool Catalog,rmq9-unzu,,,,2426
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,All FDA Recalls (Health-and-Nutrition/All-FDA-Recalls/9itm-r97t),Contains data for FDA recalls from 2009 through the present.,Health and Nutrition,"medical devices, biologics, health, drugs, notifications, market, recalls, food, safety, community.health, animal health",0,0,9itm-r97t,daily,2009-ongoing,Department of Health and Human Services,US Food and Drug Administration,Y,N,Raw Data Catalog,9itm-r97t,,,,4013
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,NASA World Wind (Science-and-Technology/NASA-World-Wind/6hcn-x265),"World Wind allows any user to zoom from satellite altitude into any place on Earth, leveraging high resolution LandSat imagery and SRTM elevation data to experience Earth in visually rich 3D, just as if you were really there.",Science and Technology,"landmark, Landsat, NASA, imaging, satellite imagery, topography, elevation",0,0,6hcn-x265,various,various,National Aeronautics and Space Administration,,Y,N,Tool Catalog,6hcn-x265,,,,1545
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Southeast Information Office (Labor-Force-Employment-and-Earnings/Southeast-Information-Office/c4cb-qpqv),"The Southeast BLS Information Office in Atlanta services the states of Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, and Tennessee.","Labor Force, Employment, and Earnings","Inflation and Consumer Spending, Employment and Unemployment, Pay and Benefits, Workplace Injuries",0,0,c4cb-qpqv,Monthly,Various sources of data,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,c4cb-qpqv,,,,342
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,CY 2009 MTM Contact List (Health-and-Nutrition/CY-2009-MTM-Contact-List/qxwu-whmg),CMS approved contact list of Part D Sponsors in Medication Therapy Management Program (MTMP) which is in their plans' benefit structure.,Health and Nutrition,"Medication Therapy Management, community.health",0,0,qxwu-whmg,quarterly,For CY 2010,Department of Health and Human Services,Centers for Medicare and Medicaid Services,N,N,Raw Data Catalog,qxwu-whmg,,,,1450
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,RSS Feed for Tropical Weather Podcasts en Espanol (Experimental) (Geography-and-Environment/RSS-Feed-for-Tropical-Weather-Podcasts-en-Espanol-/kwws-wgzr),The National Weather Service (NWS) National Hurricane Center uses regularly updated RSS feeds to disseminate Podcasts for NHC media briefings for current US Coast  or US Territorial Islands landfalling hurricanes (en Espanol),Geography and Environment,"tropical cyclone, Gulf of Mexico, warning, hurricanes, Caribbean Sea, podcast, watch, North Atlantic, waves, forecast",0,0,kwws-wgzr,hourly,Present,Department of Commerce,National Oceanic and Atmospheric Administration,Y,N,Tool Catalog,kwws-wgzr,,,,2474
